,0
ACAN,6
AGER,6
ALPK1,2
ANKRD17,3
APOB,5
APPL1,3
APPL2,4
ARRB2,3
ASGR1,7
ASGR2,4
ATRN,3
ATRNL1,6
BCAN,5
BCL10,6
BIRC2,3
BIRC3,4
BPIFB1,4
BTK,5
C1QBP,3
CACTIN,4
CASP8,2
CAV1,5
CD14,6
CD163,5
CD163L1,5
CD207,6
CD209,5
CD248,5
CD300A,4
CD300LF,6
CD302,2
CD36,3
CD5,5
CD5L,2
CD6,6
CD68,4
CD69,4
CD72,9
CD93,4
CFI,8
CHODL,7
CHUK,3
CIITA,5
CLEC10A,2
CLEC11A,5
CLEC12A,4
CLEC12B,5
CLEC14A,3
CLEC16A,3
CLEC17A,3
CLEC18A,2
CLEC18B,4
CLEC18C,6
CLEC1A,4
CLEC1B,2
CLEC2A,5
CLEC2B,2
CLEC2D,5
CLEC2L,6
CLEC3A,1
CLEC3B,7
CLEC4A,7
CLEC4C,7
CLEC4D,3
CLEC4E,4
CLEC4F,6
CLEC4G,3
CLEC5A,4
CLEC6A,4
CLEC7A,6
CLEC9A,6
CNPY3,4
COLEC10,2
COLEC11,2
COLEC12,6
CORIN,7
CTSB,8
CTSK,6
CTSL,4
CTSS,5
CXCL16,4
CYBA,3
CYLD,2
DAB2IP,2
DDX58,4
DDX60,3
DGCR2,3
DHX58,2
DMBT1,4
ERBIN,2
ESR1,3
F2RL1,4
FADD,3
FCER2,6
FCN1,3
FCRL3,5
FFAR2,4
FGA,1
FGB,3
FGG,2
FLOT1,6
FREM1,2
GFI1,2
GPATCH3,3
GPS2,2
GRAMD4,3
HAVCR2,6
HHIPL1,5
HMGB1,4
HPN,5
HSP90B1,3
HSPA1A,3
HSPA1B,3
HSPD1,4
IFIH1,6
IKBKB,3
IKBKE,1
IKBKG,2
INAVA,2
IRAK1,6
IRAK2,4
IRAK3,5
IRAK4,4
IRF1,4
IRF3,6
IRF4,7
IRF7,4
IRGM,7
ITCH,2
ITGAM,8
ITGB2,3
KLRB1,5
KLRC1,6
KLRC2,10
KLRC3,4
KLRD1,5
KLRF1,4
KLRG1,7
KLRG2,5
KLRK1,5
LAYN,7
LBP,3
LGALS3BP,2
LGMN,6
LGR4,6
LILRA2,4
LILRA4,4
LOXL2,5
LOXL3,4
LOXL4,7
LRRC14,3
LSM14A,5
LTF,2
LY75,4
LY96,6
LYN,1
MAP2K6,4
MAP3K1,5
MAP3K7,1
MAPKAPK2,2
MAPKAPK3,2
MARCO,2
MBL1P,7
MEGF10,5
MFHAS1,3
MRC1,2
MRC2,6
MSR1,4
MYD88,3
NAIP,4
NCAN,6
NFKBIA,6
NFKBIL1,7
NLRC3,7
NLRC4,3
NLRC5,3
NLRP1,4
NLRP10,6
NLRP11,6
NLRP12,3
NLRP13,4
NLRP14,4
NLRP2,6
NLRP3,5
NLRP4,4
NLRP5,1
NLRP6,6
NLRP7,3
NLRP8,6
NLRP9,4
NLRX1,5
NOD1,4
NOD2,5
NOP53,5
NPLOC4,3
NR1D1,5
NR1H3,5
NR1H4,2
OLR1,5
OTUD4,1
OTULIN,5
PDPK1,2
PELI1,2
PGBD1,3
PGLYRP1,5
PGLYRP2,5
PGLYRP3,6
PGLYRP4,2
PIK3AP1,6
PIK3C3,1
PIK3R4,3
PJA2,2
PKD1,3
PKD1L2,3
PKD1L3,2
PLA2R1,5
PRG2,6
PRG3,1
PRKCE,2
PRSS12,3
PTPN22,1
PTPRS,3
PUM1,0
PUM2,5
REG1A,3
REG1B,1
REG3A,1
REG3G,2
REG4,3
RELA,5
RFTN1,3
RIOK3,2
RIPK1,0
RIPK2,7
RNF125,5
RPS27A,5
RPS6KA3,3
RSAD2,6
RTN4,4
S100A1,4
S100A14,4
S100A8,6
S100A9,5
SARM1,2
SCARA3,3
SCARA5,6
SCARB1,5
SCARB2,4
SCARF1,4
SCARF2,5
SEC14L1,5
SELE,5
SELL,6
SELP,5
SFTPA1,5
SFTPA2,3
SFTPD,3
SMPDL3B,3
SSC4D,8
SSC5D,7
STAB1,3
STAB2,6
TAB1,1
TAB2,0
TAB3,2
TANK,5
TBK1,0
THBD,5
TICAM1,4
TICAM2,3
TIFA,2
TIRAP,4
TKFC,2
TLR1,4
TLR10,8
TLR2,6
TLR3,4
TLR4,7
TLR5,6
TLR6,3
TLR7,6
TLR8,2
TLR9,5
TMEM173,5
TMPRSS13,5
TMPRSS15,1
TMPRSS2,5
TMPRSS3,8
TMPRSS4,3
TMPRSS5,5
TNFAIP3,5
TNIP1,3
TNIP2,2
TNIP3,6
TRAF3,4
TRAF6,5
TREML4,2
TRIL,6
TRIM15,5
TRIM5,4
TSPAN6,6
TYRO3,2
UBA52,6
UBB,2
UBC,4
UBE2D1,3
UBE2D2,2
UBE2D3,2
UBE2N,1
UBE2V1,5
UBQLN1,2
UFD1,2
UNC93B1,6
USP17L2,5
VCAN,5
WDFY1,4
XIAP,3
ZCCHC3,3
